Datetime,Close,Position
2018-02-28 9:00,826.5,1
2018-02-28 9:30,827.8,1
2018-02-28 10:00,829.1,1
2018-02-28 10:30,829.7,1
2018-02-28 11:00,830,1
2018-02-28 11:30,829.7,1
2018-02-28 13:00,832.3,1
2018-02-28 13:30,829.3,1
2018-02-28 14:00,828.6,0
2018-03-01 9:00,824.8,0
2018-03-01 9:30,826.5,0
2018-03-01 10:00,827.2,0
2018-03-01 10:30,832.3,0
2018-03-01 11:00,832.8,1
2018-03-01 11:30,833,1
2018-03-01 13:00,830.8,0
2018-03-01 13:30,827.8,0
2018-03-01 14:00,827.8,0
2018-03-02 9:00,821.9,0
2018-03-02 9:30,823.2,0
2018-03-02 10:00,823.2,0
2018-03-02 10:30,822.4,0
2018-03-02 11:00,824.6,0
2018-03-02 11:30,824.7,0
2018-03-02 13:00,824.6,1
2018-03-02 13:30,827.3,1
2018-03-02 14:00,828.9,1
2018-03-02 14:30,830.8,1
2018-03-05 9:00,835.6,1
2018-03-05 9:30,837.8,1
2018-03-05 10:00,837.1,1
2018-03-05 10:30,837.8,1
2018-03-05 11:00,835.8,0
2018-03-05 11:30,835.8,0
2018-03-05 13:00,834.3,0
2018-03-05 13:30,834.8,0
2018-03-05 14:00,824.2,0
2018-03-05 14:30,805.7,-1
2018-03-06 9:00,812,-1
2018-03-06 9:30,812.1,-1
2018-03-06 10:00,812.4,-1
2018-03-06 10:30,812.4,1
2018-03-06 11:00,814.8,1
2018-03-06 11:30,814.8,1
2018-03-06 13:00,816.7,1
2018-03-06 13:30,816.2,1
2018-03-06 14:00,830.8,1
2018-03-06 14:30,830.7,1
2018-03-07 9:00,830.6,1
2018-03-07 9:30,828.6,1
2018-03-07 10:00,829.6,1
2018-03-07 10:30,825.8,0
2018-03-07 11:00,825.5,0
2018-03-07 11:30,824.6,0
2018-03-07 13:00,822.8,0
2018-03-07 13:30,816.8,0
2018-03-07 14:00,811.4,0
2018-03-07 14:30,814.4,0
2018-03-08 9:00,821.1,0
2018-03-08 9:30,820.1,0
2018-03-08 10:00,822.4,1
2018-03-08 10:30,823.4,1
2018-03-08 11:00,821.1,1
2018-03-08 11:30,820.8,1
2018-03-08 13:00,828.4,1
2018-03-08 13:30,826.7,1
2018-03-08 14:00,832.3,1
2018-03-09 9:00,834.8,1
2018-03-09 9:30,836.6,1
2018-03-09 10:00,834.8,1
2018-03-09 10:30,835.4,0
2018-03-09 11:00,836.2,0
2018-03-09 11:30,836.2,0
2018-03-09 13:00,837.7,0
2018-03-09 13:30,831.5,0
2018-03-09 14:00,824.1,-1
2018-03-09 14:30,828.6,-1
2018-03-12 9:00,837.4,-1
2018-03-12 9:30,837,-1
2018-03-12 10:00,837.3,-1
2018-03-12 10:30,837.2,-1
2018-03-12 11:00,836.2,-1
2018-03-12 11:30,836.2,0
2018-03-12 13:00,836.3,1
2018-03-12 13:30,832.1,1
2018-03-12 14:00,829.2,1
2018-03-12 14:30,832.9,0
2018-03-13 9:00,831.3,0
2018-03-13 9:30,830,0
2018-03-13 10:00,828.8,0
2018-03-13 10:30,826.4,0
2018-03-13 11:00,826.9,0
2018-03-13 11:30,827.2,0
2018-03-13 13:00,826.3,0
2018-03-13 13:30,826.5,1
2018-03-13 14:00,834.7,1
2018-03-14 9:00,836.2,1
2018-03-14 9:30,836.3,1
2018-03-14 10:00,836,1
2018-03-14 10:30,836.2,1
2018-03-14 11:00,835.4,1
2018-03-14 11:30,835.4,1
2018-03-14 13:00,834.1,1
2018-03-14 13:30,833.1,1
2018-03-14 14:00,834.8,0
2018-03-15 9:00,831.7,0
2018-03-15 9:30,831.7,0
2018-03-15 10:00,831.7,0
2018-03-15 10:30,832,0
2018-03-15 11:00,830.7,1
2018-03-15 11:30,830.7,1
2018-03-15 13:00,830.6,1
2018-03-15 13:30,831.7,1
2018-03-15 14:00,833.1,1
2018-03-15 14:30,833.1,1
2018-03-16 9:30,840.9,1
2018-03-16 10:00,841.3,1
2018-03-16 10:30,841.6,1
2018-03-16 11:00,840.9,1
2018-03-16 11:30,840.9,0
2018-03-16 13:00,841,1
2018-03-16 13:30,841.7,1
2018-03-16 14:00,842.3,1
2018-03-16 14:30,844.2,0
2018-03-19 9:00,845.9,0
2018-03-19 9:30,845.7,0
2018-03-19 10:00,844.9,0
2018-03-19 10:30,845.6,0
2018-03-19 11:00,846.8,0
2018-03-19 11:30,846.8,0
2018-03-19 13:00,847.8,0
2018-03-19 13:30,848.2,0
2018-03-19 14:00,849,0
2018-03-19 14:30,847.5,0
2018-03-20 9:00,846.3,0
2018-03-20 9:30,847.7,0
2018-03-20 10:00,847.5,1
2018-03-20 10:30,848.9,1
2018-03-20 11:00,849.2,1
2018-03-20 11:30,849.5,1
2018-03-20 13:00,849.2,1
2018-03-20 13:30,851.5,0
2018-03-20 14:00,849.2,0
2018-03-20 14:30,849.2,0
2018-03-21 9:00,851.1,0
2018-03-21 9:30,851.3,1
2018-03-21 10:00,851.6,1
2018-03-21 10:30,854,1
2018-03-21 11:00,852.8,0
2018-03-21 11:30,852.8,1
2018-03-21 13:00,854.6,1
2018-03-21 13:30,852.6,1
2018-03-21 14:00,853.4,0
2018-03-21 14:30,854.1,0
2018-03-22 9:00,859.4,0
2018-03-22 9:30,859.9,0
2018-03-22 10:00,860,0
2018-03-22 10:30,858.3,0
2018-03-22 11:00,858.7,0
2018-03-22 11:30,859,0
2018-03-22 13:00,858.1,0
2018-03-22 13:30,858.5,1
2018-03-22 14:00,857.9,1
2018-03-22 14:30,853.4,0
2018-03-23 9:00,843,0
2018-03-23 9:30,843.9,0
2018-03-23 10:00,842.5,0
2018-03-23 10:30,842.4,1
2018-03-23 11:00,841.3,1
2018-03-23 11:30,841.1,1
2018-03-23 13:00,840.8,1
2018-03-23 13:30,840.8,1
2018-03-23 14:00,842.3,1
2018-03-23 14:30,843.8,1
2018-03-26 9:00,845.3,1
2018-03-26 9:30,845.6,1
2018-03-26 10:00,845.4,1
2018-03-26 10:30,844.5,1
2018-03-26 11:00,846,1
2018-03-26 11:30,846.2,1
2018-03-26 13:00,849.5,1
2018-03-26 13:30,850.1,1
2018-03-26 14:00,858.7,0
2018-03-26 14:30,854.2,0
2018-03-27 9:00,864,0
2018-03-27 9:30,862.9,0
2018-03-27 10:00,863.8,0
2018-03-27 10:30,860.4,0
2018-03-27 11:00,861.4,0
2018-03-27 11:30,861.3,0
2018-03-27 13:00,862.9,0
2018-03-27 13:30,861.4,0
2018-03-27 14:00,858.8,0
2018-03-27 14:30,858.9,0
2018-03-28 9:00,857.6,0
2018-03-28 9:30,857.6,0
2018-03-28 10:00,857.5,0
2018-03-28 10:30,856.4,1
2018-03-28 11:00,856.1,1
2018-03-28 11:30,856.1,1
2018-03-28 13:00,857.8,1
2018-03-28 13:30,857.6,1
2018-03-28 14:00,859,1
2018-03-28 14:30,859,1
2018-03-29 9:00,861.4,1
2018-03-29 9:30,860.1,1
2018-03-29 10:00,859.3,1
2018-03-29 10:30,860,1
2018-03-29 11:00,860.1,1
2018-03-29 11:30,860.1,1
2018-03-29 13:00,859.5,0
2018-03-29 13:30,857.6,0
2018-03-29 14:00,856.4,0
2018-03-29 14:30,856.3,0
2018-03-30 9:00,856.4,0
2018-03-30 9:30,856.8,0
2018-03-30 10:00,855.9,-1
2018-03-30 10:30,854.6,-1
2018-03-30 11:00,855.4,-1
2018-03-30 11:30,855.4,0
2018-03-30 13:00,856.1,0
2018-03-30 13:30,856.8,0
2018-03-30 14:00,858,0
2018-03-30 14:30,858.1,0
2018-04-02 9:00,861.8,1
2018-04-02 9:30,862.6,1
2018-04-02 10:00,864.5,1
2018-04-02 10:30,865.2,1
2018-04-02 11:00,866.2,1
2018-04-02 11:30,866.4,0
2018-04-02 13:00,867.9,0
2018-04-02 13:30,869.7,0
2018-04-02 14:00,871,0
2018-04-02 14:30,870.7,0
2018-04-03 9:00,870.6,0
2018-04-03 9:30,868.9,0
2018-04-03 10:00,870.5,0
2018-04-03 10:30,869.9,0
2018-04-03 11:00,870.3,0
2018-04-03 11:30,870.6,0
2018-04-03 13:00,868.8,0
2018-04-03 13:30,867.8,0
2018-04-03 14:00,870,0
2018-04-03 14:30,871.2,1
2018-04-04 9:00,875.9,1
2018-04-04 9:30,876.1,1
2018-04-04 10:00,876.2,1
2018-04-04 10:30,875.3,1
2018-04-04 11:00,875.3,1
2018-04-04 11:30,875.5,1
2018-04-04 13:00,873.6,1
2018-04-04 13:30,874.1,0
2018-04-04 14:00,872.8,0
2018-04-04 14:30,870.7,0
2018-04-05 9:00,874.2,0
2018-04-05 9:30,874.5,0
2018-04-05 10:00,873.2,0
2018-04-05 10:30,872.8,0
2018-04-05 11:00,873.6,0
2018-04-05 11:30,873.4,1
2018-04-05 13:00,873.9,1
2018-04-05 13:30,873.6,1
2018-04-05 14:00,875.3,1
2018-04-05 14:30,876.6,1
2018-04-06 9:00,877.4,1
2018-04-06 9:30,876.9,1
2018-04-06 10:00,876.9,1
2018-04-06 10:30,878.3,1
2018-04-06 11:00,878.8,1
2018-04-06 11:30,878.9,0
2018-04-06 13:00,879.4,1
2018-04-06 13:30,878.3,0
2018-04-06 14:00,877.5,0
2018-04-06 14:30,876.6,0
2018-04-09 9:00,877.9,0
2018-04-09 9:30,877.5,0
2018-04-09 10:00,878.2,0
2018-04-09 10:30,877.7,0
2018-04-09 11:00,878.2,0
2018-04-09 13:00,878.4,0
2018-04-09 13:30,878,1
2018-04-09 14:00,880.9,1
2018-04-09 14:30,882.9,1
2018-04-10 9:00,883.3,1
2018-04-10 9:30,883.8,1
2018-04-10 10:00,883.7,1
2018-04-10 10:30,882.6,1
2018-04-10 11:00,880.8,0
2018-04-10 11:30,880.6,0
2018-04-10 13:00,880.3,0
2018-04-10 13:30,879.7,0
2018-04-10 14:00,880.5,0
2018-04-10 14:30,879.7,0
2018-04-11 9:00,879.2,0
2018-04-11 9:30,879.1,0
2018-04-11 10:00,877.4,0
2018-04-11 10:30,875.6,-1
2018-04-11 11:00,871.7,-1
2018-04-11 11:30,871.7,0
2018-04-11 13:00,867.1,0
2018-04-11 13:30,865.8,-1
2018-04-11 14:00,858.7,-1
2018-04-11 14:30,854.2,0
2018-04-12 9:00,847.5,0
2018-04-12 9:30,852,0
2018-04-12 10:00,853.3,0
2018-04-12 10:30,850.9,0
2018-04-12 11:00,853.1,0
2018-04-12 11:30,853,1
2018-04-12 13:00,853.4,1
2018-04-12 13:30,851.1,0
2018-04-12 14:00,855.5,0
2018-04-12 14:30,855,0
2018-04-13 9:00,858.5,0
2018-04-13 9:30,857.2,-1
2018-04-13 10:00,856.5,-1
2018-04-13 10:30,856.5,-1
2018-04-13 11:00,852.6,-1
2018-04-13 11:30,852.3,-1
2018-04-13 13:00,850.1,-1
2018-04-13 13:30,848,-1
2018-04-13 14:00,845.3,-1
2018-04-13 14:30,843,-1
2018-04-16 9:00,843.7,-1
2018-04-16 9:30,843.4,-1
2018-04-16 10:00,845.3,0
2018-04-16 10:30,844,0
2018-04-16 11:00,844,0
2018-04-16 11:30,844,0
2018-04-16 13:00,843.8,0
2018-04-16 13:30,846,0
2018-04-16 14:00,843.7,0
2018-04-16 14:30,843,0
2018-04-17 9:00,846.2,0
2018-04-17 9:30,846,0
2018-04-17 10:00,844.5,-1
2018-04-17 10:30,843.8,-1
2018-04-17 11:00,840.9,-1
2018-04-17 11:30,840.8,-1
2018-04-17 13:00,840.9,-1
2018-04-17 13:30,844.3,-1
2018-04-17 14:00,845.2,0
2018-04-17 14:30,849.5,0
2018-04-18 9:00,850.7,0
2018-04-18 9:30,849.1,0
2018-04-18 10:00,849.2,0
2018-04-18 10:30,847.8,0
2018-04-18 11:00,846,0
2018-04-18 13:00,846.4,-1
2018-04-18 13:30,842.1,-1
2018-04-18 14:00,833.2,-1
2018-04-18 14:30,833.3,-1
2018-04-19 9:00,832.3,-1
2018-04-19 9:30,831,-1
2018-04-19 10:00,827.6,-1
2018-04-19 10:30,821.9,-1
2018-04-19 11:00,818.6,0
2018-04-19 13:00,819.5,0
2018-04-19 13:30,806.1,0
2018-04-19 14:00,811.4,0
2018-04-20 9:00,800,0
2018-04-20 9:30,800.2,0
2018-04-20 10:00,799.2,0
2018-04-20 10:30,806.1,0
2018-04-20 11:00,807.7,0
2018-04-20 11:30,808.5,0
2018-04-20 13:00,809.8,0
2018-04-20 13:30,810.1,0
2018-04-20 14:00,820.4,0
2018-04-20 14:30,821.8,0
2018-04-23 9:00,817.5,0
2018-04-23 9:30,814.3,-1
2018-04-23 10:00,813.3,-1
2018-04-23 10:30,817.4,-1
2018-04-23 11:00,811.1,-1
2018-04-23 13:00,811.1,-1
2018-04-23 13:30,800.2,-1
2018-04-23 14:00,777.8,-1
2018-04-23 14:30,775.5,-1
2018-04-24 9:00,774.4,-1
2018-04-24 9:30,778.7,0
2018-04-24 10:00,780.3,0
2018-04-24 10:30,781.4,0
2018-04-24 11:00,789,0
2018-04-24 11:30,789,0
2018-04-24 13:00,787.3,0
2018-04-24 13:30,791.1,0
2018-04-24 14:00,776.3,0
2018-04-26 9:00,781.6,0
